player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2026-02-08,13:03:27,1,1,"Lucas, Landon",1000051326,Right,UNC_PEM,"McAlpine, Landon",10138807,Right,SAL_UNI,Undefined,1,Top,0,0,0,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,92.392080000000007,-1.806153,-5.959179,1933.365217,228.879311,01:45:00,5.53362,2.90891,5.7003,-15.97958,17.16068,18.45485,2.50918,-1.1265,84.48868,-4.831119,-2.684896,0.414333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.92816,9.50319,-2.41862,50,5.37127,13.10875,-133.51916,-4.73349,-19.83221,27.32058,-14.92781,UNC_PEM,SAL_UNI,SammyCoxField,D2,CC,20260208-SammyCoxField-1,78b5f260-0518-11f1-b494-b5b6e8fa1646,90.9714,NA,NA,7.9034,NA,NA,NA,NA,NA,NA,90e2e3a7-6f64-4385-90c7-def7507a7fc8,2026-02-08,18:03:27,2026-02-08T18:03:27Z,2026-02-08T18:03:27Z,NA,v3,NA,NA,NA,"Mozley, Mason",10967129,Right,UNC_PEM,ecd13cab-953e-43e6-81d5-7bd0b1333a08,54.80221,-134.4982,13.66029,5.53131,-4.19855,-7.4639,-2.90111,13.81944,-9.91611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,232.442889,6.372513,1921.419496,0.993821,01:45:00,-0.148533,-0.790955,-0.593573,-14.308993,54.790423,58.588659,-0.040074,177.065329,-0.997886,-2.932311,0.997886,-0.051156,0.040074,2.2997,-2.296687,0.051156,-0.051156,-177.065329,2.296687,0.040074,2.932311,-2.2997,-0.040074,0.051156,0.997886,-0.997886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2026-02-08,13:03:41,1,2,"Lucas, Landon",1000051326,Right,UNC_PEM,"McAlpine, Landon",10138807,Right,SAL_UNI,Undefined,1,Top,0,1,0,Undefined,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,92.44048,-1.378178,-4.668793,1874.307125,229.866115,01:45:00,5.45328,3.07365,5.72871,-14.76296,18.20395,20.35159,2.9349,0.41156,84.44089,-4.193119,-1.043053,0.413248,71.43361,34.787323,163.605181,4654.74741,-108.50747,35.54549,18.05589,183.27679,57.32392,174.053687,2.60076,-11.66241,9.96064,-2.6963,50,5.32898,10.03918,-133.90484,-3.68127,-21.24143,28.06294,-14.03216,UNC_PEM,SAL_UNI,SammyCoxField,D2,CC,20260208-SammyCoxField-1,8098fd60-0518-11f1-b494-b5b6e8fa1646,91.21024,36.64656,NA,7.99959,NA,NA,NA,1.64255,3.00023,-0.42052,90e2e3a7-6f64-4385-90c7-def7507a7fc8,2026-02-08,18:03:41,2026-02-08T18:03:41Z,2026-02-08T18:03:41Z,FlyBall,v3,NA,NA,NA,"Mozley, Mason",10967129,Right,UNC_PEM,f34b695f-08ef-4d44-a140-98d7cab30023,54.77484,-134.90181,14.03147,5.4509,-3.18277,-7.01608,-3.06636,10.79381,-10.62072,320.096289,1.64252,-82.54371,3.05896,1.39297,-0.72481,0.31264,-0.1099,0.02687,-0.00292,3.00022,59.77465,-30.56257,4.33511,-0.92979,0.18673,-0.03885,0.00674,-5.2e-4,-0.42052,24.28605,-11.14196,3.01018,-0.69847,0.11956,-0.0123,-6.1e-4,3.2e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA,234.456264,13.389973,1823.356751,0.972816,01:45:00,-0.257799,-0.796894,-0.546351,-13.975516,50.045796,56.842681,-0.02119,174.24705,-0.99474,-5.751654,0.99474,-0.100217,0.02119,1.220325,-1.21418,0.100217,-0.100217,-174.24705,1.21418,0.02119,5.751654,-1.220325,-0.02119,0.100217,0.99474,-0.99474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2026-02-08,13:03:58,1,3,"Lucas, Landon",1000051326,Right,UNC_PEM,"McAlpine, Landon",10138807,Right,SAL_UNI,Undefined,1,Top,0,1,1,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,92.57914,0.127443,-4.812037,1837.08581,247.238299,02:15:00,5.43116,3.00057,5.75958,-24.783080000000002,8.15745,16.9132,3.48495,-0.07979,84.34626,-4.479619,-1.79841,0.413082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.8941,4.44256,-2.61091,50,5.42677,10.51602,-134.04181,-0.58924,-18.00333,28.93761,-24.09039,UNC_PEM,SAL_UNI,SammyCoxField,D2,CC,20260208-SammyCoxField-1,8ad95950-0518-11f1-b494-b5b6e8fa1646,91.24682,NA,NA,8.23288,NA,NA,NA,NA,NA,NA,90e2e3a7-6f64-4385-90c7-def7507a7fc8,2026-02-08,18:03:58,2026-02-08T18:03:58Z,2026-02-08T18:03:58Z,NA,v3,NA,NA,NA,"Mozley, Mason",10967129,Right,UNC_PEM,e87aa979-0ff8-4d65-98b6-78f9463d65dc,54.74178,-135.06161,14.4688,5.43257,0.25974,-12.04519,-2.99269,11.15048,-9.00166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,235.116437,20.236597,1723.686681,0.938272,01:45:00,-0.391398,-0.768908,-0.505556,-85.707607,-25.891142,74.80332,-0.980512,149.771663,-0.169746,-5.676228,0.169746,-0.098907,0.980512,80.178322,-78.670018,0.098907,-0.098907,-149.771663,78.670018,0.980512,5.676228,-80.178322,-0.980512,0.098907,0.169746,-0.169746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2026-02-08,13:04:14,1,4,"Lucas, Landon",1000051326,Right,UNC_PEM,"McAlpine, Landon",10138807,Right,SAL_UNI,Undefined,1,Top,0,2,1,Undefined,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,91.19796,-1.253368,-5.105802,1924.711876,230.494408,01:45:00,5.4336,2.97061,5.72658,-19.77426,14.12024,15.83804,2.6135,-0.4778,83.46722,-4.958031,-2.287945,0.419021,73.55405,52.276203,110.703926,6034.688266,NA,NA,NA,NA,44.92071,NA,NA,-9.45001,7.84146,-2.5534,50,5.31641,11.10663,-132.01403,-3.55546,-16.74593,27.01218,-18.27853,UNC_PEM,SAL_UNI,SammyCoxField,D2,CC,20260208-SammyCoxField-1,9496c9a0-0518-11f1-b494-b5b6e8fa1646,89.95348,50.6804,NA,7.73074,NA,NA,NA,1.28314,2.68505,0.58126,90e2e3a7-6f64-4385-90c7-def7507a7fc8,2026-02-08,18:04:14,2026-02-08T18:04:14Z,2026-02-08T18:04:14Z,NA,v3,NA,NA,NA,"Mozley, Mason",10967129,Right,UNC_PEM,9f9d8e3d-a55a-4e00-a03c-414b10be48f6,54.77627,-132.98774,13.50609,5.4327,-2.89658,-9.13926,-2.96464,11.71027,-8.37296,NA,1.28314,-23.33584,-8.61298,3.02924,-0.90321,0.2528,-0.06706,0.01541,-0.0022,2.68505,85.32908,-29.15023,3.31887,-0.43992,0.01876,0.01055,-0.00484,9e-4,0.58126,61.74373,-12.63142,4.64587,-1.22303,0.289,-0.065310000000000007,0.01266,-0.00153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Undefined,NA,NA,NA,233.048095,8.454484,1903.795975,0.989133,01:45:00,-0.182101,-0.793483,-0.58071,-11.86268,56.247113,58.079645,-0.061094,176.808393,-0.996584,-3.185639,0.996584,-0.055571,0.061094,3.5081,-3.502672,0.055571,-0.055571,-176.808393,3.502672,0.061094,3.185639,-3.5081,-0.061094,0.055571,0.996584,-0.996584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2026-02-08,13:04:32,1,5,"Lucas, Landon",1000051326,Right,UNC_PEM,"McAlpine, Landon",10138807,Right,SAL_UNI,Undefined,1,Top,0,2,2,Undefined,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,77.53751,1.914835,-1.451507,2577.495876,29.384439,07:00:00,5.3545,3.05091,5.79194,-59.28688,-12.51965,-7.87032,2.19649,1.04446,71.25482,-8.909976,-2.863066,0.492201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6530300000000002,-6.72961,-2.92634,50,5.47568,3.13554,-112.64596,1.86669,4.67085,21.39732,-40.77862,UNC_PEM,SAL_UNI,SammyCoxField,D2,CC,20260208-SammyCoxField-1,9f0e6230-0518-11f1-b494-b5b6e8fa1646,76.57943,NA,NA,6.28269,NA,NA,NA,NA,NA,NA,90e2e3a7-6f64-4385-90c7-def7507a7fc8,2026-02-08,18:04:32,2026-02-08T18:04:32Z,2026-02-08T18:04:32Z,NA,v3,NA,NA,NA,"Mozley, Mason",10967129,Right,UNC_PEM,a6c9a10a-2013-4f3d-bd8f-1c68e5bbfa81,54.71458,-113.53797,10.69866,5.36242,3.56667,-20.38931,-3.053,2.94083,2.33542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,34.812497,49.846825,1662.055052,0.644833,07:15:00,-0.737944,0.393464,0.548293,-83.525806,21.271021,59.647319,0.230185,155.643499,-0.886534,23.66187,0.886534,-0.401338,-0.230185,14.555235,13.30798,0.401338,0.401338,-155.643499,-13.30798,0.230185,-23.66187,-14.555235,-0.230185,-0.401338,0.886534,-0.886534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2026-02-08,13:04:47,1,6,"Lucas, Landon",1000051326,Right,UNC_PEM,"McAlpine, Landon",10138807,Right,SAL_UNI,Undefined,1,Top,0,3,2,Undefined,Sinker,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,91.5512,-0.161604,-4.851087,1856.712161,224.510122,01:30:00,5.37202,2.99763,5.72325,-20.25647,13.82135,12.40627,3.53291,-0.49799,82.60075,-3.983228,-2.643827,0.420153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.75252,7.41252,-2.59905,50,5.34616,10.66948,-132.36654,-1.03858,-13.61726,30.88271,-19.15404,UNC_PEM,SAL_UNI,SammyCoxField,D2,CC,20260208-SammyCoxField-1,a7f3e910-0518-11f1-b494-b5b6e8fa1646,89.71128,NA,NA,8.95044,NA,NA,NA,NA,NA,NA,90e2e3a7-6f64-4385-90c7-def7507a7fc8,2026-02-08,18:04:47,2026-02-08T18:04:47Z,2026-02-08T18:04:47Z,NA,v3,NA,NA,NA,"Mozley, Mason",10967129,Right,UNC_PEM,f5da7719-97b3-4cb4-bac7-3e1787792f35,54.7756,-133.47609,15.44136,5.37112,-0.35042,-9.57702,-2.99117,11.15872,-6.80863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.29988,3.037568,1.789082,1.248486,-0.74162,3.37905,0.59597,-2.76926,4.27276,1.59174,70.83149,1.96384,-53.96294,-2.72267,63.7024,-3.84424,4.34825,16.5535,-14.80457,1.51261,-50.56025,4.92274,High,High,High,NA,NA,High,High,High,234.006179,12.301247,1814.083793,0.977041,01:45:00,-0.258624,-0.791102,-0.55432,-25.62135,55.641502,43.669355,0.042064,177.497516,-0.998162,2.500268,0.998162,-0.043624,-0.042064,2.413127,2.410829,0.043624,0.043624,-177.497516,-2.410829,0.042064,-2.500268,-2.413127,-0.042064,-0.043624,0.998162,-0.998162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2026-02-08,13:05:14,2,1,"Lucas, Landon",1000051326,Right,UNC_PEM,"Hoftjizer, Brandon",1000510592,Right,SAL_UNI,Undefined,1,Top,1,0,0,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,91.65236,0.475655,-4.675577,1751.680309,224.612519,01:30:00,5.43622,2.98727,5.7961,-20.69466,12.97808,11.70784,4.1556,-0.39598,83.19105,-3.415794,-2.589263,0.417648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.26835,6.79981,-2.60868,50,5.46316,10.3221,-132.6491,0.42214,-12.90957,29.21032,-20.09667,UNC_PEM,SAL_UNI,SammyCoxField,D2,CC,20260208-SammyCoxField-1,b87a41d0-0518-11f1-b494-b5b6e8fa1646,90.24925,NA,NA,8.46131,NA,NA,NA,NA,NA,NA,90e2e3a7-6f64-4385-90c7-def7507a7fc8,2026-02-08,18:05:14,2026-02-08T18:05:14Z,2026-02-08T18:05:14Z,NA,v3,NA,NA,NA,"Mozley, Mason",10967129,Right,UNC_PEM,1a44fe9e-8de0-46a9-bf75-2b41b5986d3e,54.70355,-133.68084,14.60516,5.43571,1.13198,-10.04833,-2.98132,10.77808,-6.45479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,231.989557,12.823243,1707.992349,0.975059,01:45:00,-0.276499,-0.766379,-0.579838,-20.990078,53.645412,43.747635,-0.004428,178.010268,-0.999387,-1.989712,0.999387,-0.03472,0.004428,0.253873,-0.25372,0.03472,-0.03472,-178.010268,0.25372,0.004428,1.989712,-0.253873,-0.004428,0.03472,0.999387,-0.999387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2026-02-08,13:05:41,2,2,"Lucas, Landon",1000051326,Right,UNC_PEM,"Hoftjizer, Brandon",1000510592,Right,SAL_UNI,Undefined,1,Top,1,1,0,Undefined,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,77.95994,2.277818,-2.19742,2657.068244,42.320286,07:30:00,5.41592,3.01003,5.74026,-58.07314,-11.58997,-11.88268,2.70023,-0.02739,71.49117,-8.321459,-4.322403,0.490704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.37859,-6.07894,-2.81977,50,5.57038,4.79348,-113.13942,2.57089,6.93129,21.75759,-40.00787,UNC_PEM,SAL_UNI,SammyCoxField,D2,CC,20260208-SammyCoxField-1,c8467250-0518-11f1-b494-b5b6e8fa1646,76.81306,NA,NA,6.46878,NA,NA,NA,NA,NA,NA,90e2e3a7-6f64-4385-90c7-def7507a7fc8,2026-02-08,18:05:41,2026-02-08T18:05:41Z,2026-02-08T18:05:41Z,NA,v3,NA,NA,NA,"Mozley, Mason",10967129,Right,UNC_PEM,824508fb-8eff-4802-ae2b-449fbd52c41d,54.76467,-114.05202,10.87879,5.42736,4.24898,-20.00394,-3.01473,4.50275,3.46564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,35.268575,47.793516,1785.030201,0.671804,07:15:00,-0.703162,0.41704,0.575882,-85.045535,16.889746,58.330456,0.180969,151.165651,-0.861554,28.314821,0.861554,-0.474316,-0.180969,11.862491,10.426197,0.474316,0.474316,-151.165651,-10.426197,0.180969,-28.314821,-11.862491,-0.180969,-0.474316,0.861554,-0.861554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2026-02-08,13:05:55,2,3,"Lucas, Landon",1000051326,Right,UNC_PEM,"Hoftjizer, Brandon",1000510592,Right,SAL_UNI,Undefined,1,Top,1,1,1,Undefined,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,77.56157,1.813613,-1.682822,2596.747765,41.099502,07:15:00,5.39833,2.91474,5.6491,-58.40826,-11.10351,-11.04851,2.22396,0.4239,70.85774,-8.841527,-3.657928,0.495021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.06453,-5.68158,-2.76488,50,5.51535,3.73074,-112.5464,1.60852,6.42568,22.48836,-39.38263,UNC_PEM,SAL_UNI,SammyCoxField,D2,CC,20260208-SammyCoxField-1,d09cb180-0518-11f1-b494-b5b6e8fa1646,76.1431,NA,NA,6.70383,NA,NA,NA,NA,NA,NA,90e2e3a7-6f64-4385-90c7-def7507a7fc8,2026-02-08,18:05:55,2026-02-08T18:05:55Z,2026-02-08T18:05:55Z,NA,v3,NA,NA,NA,"Mozley, Mason",10967129,Right,UNC_PEM,563c030c-65bc-41a7-aad6-ad33eb0cc052,54.85492,-113.51234,11.24418,5.40993,3.30011,-19.69132,-2.91919,3.45473,3.21284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,36.100179,47.791225,1744.583529,0.671834,07:15:00,-0.711548,0.419087,0.563973,-85.761143,17.346517,57.117347,0.201103,151.621928,-0.861856,27.747598,0.861856,-0.465577,-0.201103,13.134252,11.601484,0.465577,0.465577,-151.621928,-11.601484,0.201103,-27.747598,-13.134252,-0.201103,-0.465577,0.861856,-0.861856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2026-02-08,13:06:15,2,4,"Lucas, Landon",1000051326,Right,UNC_PEM,"Hoftjizer, Brandon",1000510592,Right,SAL_UNI,Undefined,1,Top,1,1,2,Undefined,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,NA,92.7643,-0.690409,-4.965902,1789.215854,222.880726,01:30:00,5.53253,2.84048,5.80425,-19.76588,13.13591,11.1793,3.2408,-0.85809,84.26,-4.408105,-2.974509,0.412839,86.44264,-24.434184,-0.328723,NA,NA,NA,NA,7.72049,7.72049,6.749865,0.060732,-7.15662,7.22556,-2.43849,50,5.46392,11.16681,-134.2186,-2.27997,-13.00026,30.18588,-19.04859,UNC_PEM,SAL_UNI,SammyCoxField,D2,CC,20260208-SammyCoxField-1,dcdd4a40-0518-11f1-b494-b5b6e8fa1646,91.30049,3.19443,NA,8.5043,NA,NA,NA,0.63616,3.19443,0.94777,90e2e3a7-6f64-4385-90c7-def7507a7fc8,2026-02-08,18:06:15,2026-02-08T18:06:15Z,2026-02-08T18:06:15Z,GroundBall,v3,NA,NA,NA,"Mozley, Mason",10967129,Right,UNC_PEM,f7445c3e-831b-427b-b3ea-4854b1117d71,54.69694,-135.27082,15.09294,5.53182,-1.61598,-9.52429,-2.83564,11.61997,-6.50013,180,0.63282,115.76806,NA,NA,NA,NA,NA,NA,NA,3.19595,-52.59889,NA,NA,NA,NA,NA,NA,NA,0.94779,-0.6642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,230.81202,11.378775,1754.047613,0.980344,01:45:00,-0.241039,-0.762165,-0.600837,-21.023256,55.828568,46.245652,0.004148,174.595602,-0.995546,5.404351,0.995546,-0.094184,-0.004148,0.23875,0.237689,0.094184,0.094184,-174.595602,-0.237689,0.004148,-5.404351,-0.23875,-0.004148,-0.094184,0.995546,-0.995546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
