PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4
1,2026-02-28,12:05:43,1,1,"Pennington, Mason",10062091,Right,SOU_RED,"Raether, Carson",1000338521,Left,MIA_RED,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,88.20231,-2.625465,-0.659914,1752.238606,190.056938,12:15:00,6.40434,1.0304,6.61912,-14.19587,21.19647,3.53327,2.81514,0.72048,79.69889,-5.413752,-0.016951,0.42818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.04496,12.30036,-0.98679,50,6.2195,1.33401,-127.96893,-6.15348,-3.3459,29.68774,-12.04847,SOU_RED,MIA_RED,SEMissouriState,D1,OVC,20260228-SEMissouriState-1,22c25430-14d0-11f1-8845-7db81f37f38d,88.02947,NA,NA,8.50342,NA,NA,NA,NA,NA,NA,98a966b5-59ec-480a-8ef9-f4dbba7818d4,2026-02-28,18:05:43,2026-02-28T18:05:43Z,2026-02-28T18:05:43Z,NA,v3,471444,471355,2c146fad927e4e3f86e052e41b672ad8,"Sims, Tank",10135104,Right,SOU_RED,133430bc-deb7-4d8e-a2db-c2caed208f1a,53.87505,-128.86477,14.84387,6.3997,-5.78991,-6.02424,-1.02857,1.43497,-1.67295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2026-02-28,12:05:56,1,2,"Pennington, Mason",10062091,Right,SOU_RED,"Raether, Carson",1000338521,Left,MIA_RED,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,88.6312,-1.563676,-1.33201,2038.242753,194.756159,12:30:00,6.39277,1.23835,6.8001,-13.95379,20.73336,5.14221,3.80216,0.45102,80.19642,-4.316377,-0.393401,0.423892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.11323,11.78556,-1.15366,50,6.28554,2.79633,-128.73492,-3.78511,-5.16573,29.53081,-12.61852,SOU_RED,MIA_RED,SEMissouriState,D1,OVC,20260228-SEMissouriState-1,2a440550-14d0-11f1-8845-7db81f37f38d,88.91983,NA,NA,8.43478,NA,NA,NA,NA,NA,NA,98a966b5-59ec-480a-8ef9-f4dbba7818d4,2026-02-28,18:05:56,2026-02-28T18:05:56Z,2026-02-28T18:05:56Z,NA,v3,471444,471355,2c146fad927e4e3f86e052e41b672ad8,"Sims, Tank",10135104,Right,SOU_RED,85908d20-ffc7-4f30-ab38-714f82940a13,53.69524,-129.5798,14.76541,6.38867,-3.42409,-6.30926,-1.23578,2.94412,-2.58286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2026-02-28,12:06:09,1,3,"Pennington, Mason",10062091,Right,SOU_RED,"Raether, Carson",1000338521,Left,MIA_RED,Undefined,1,Top,0,1,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,87.48472,-2.733175,-2.165527,1997.803458,199.303534,12:45:00,6.33106,1.1222,6.84047,-16.11954,19.11863,6.30323,2.49165,-0.32826,80.13621,-5.851725,-1.014575,0.427246,68.06957,27.319317,-72.269659,3287.878542,20.32446,33.87696,-108.10578,219.2012,89.98528,-87.201149,3.008863,-3.95874,11.268,-0.98562,50,6.14954,4.5809,-127.08567,-6.43224,-6.47268,26.10339,-13.75047,SOU_RED,MIA_RED,SEMissouriState,D1,OVC,20260228-SEMissouriState-1,31e99220-14d0-11f1-8845-7db81f37f38d,88.22185,33.91993,NA,7.34851,NA,NA,NA,0.50856,2.58055,-0.3445,98a966b5-59ec-480a-8ef9-f4dbba7818d4,2026-02-28,18:06:09,2026-02-28T18:06:09Z,2026-02-28T18:06:09Z,FlyBall,v3,471444,471355,2c146fad927e4e3f86e052e41b672ad8,"Sims, Tank",10135104,Right,SOU_RED,ee0612f7-f58f-4b99-bda4-1abc81154d82,53.65829,-127.83488,13.0517,6.32849,-6.03758,-6.87524,-1.11976,4.76668,-3.23634,NA,0.50867,27.00926,-11.1823,1.95511,-0.44368,0.11229,-0.04338,0.01146,-0.00116,2.58056,45.81799,-18.19761,1.22354,-0.11006,-0.05719,0.04442,-0.01168,0.00108,-0.34455,-84.48541,4.51723,-0.28327,0.05393,-0.05147,0.03594,-0.01048,0.00111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2026-02-28,12:06:27,1,4,"Pennington, Mason",10062091,Right,SOU_RED,"Raether, Carson",1000338521,Left,MIA_RED,Undefined,1,Top,0,1,2,Slider,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,79.08567,-1.851923,-0.99058,2131.224034,63.170213,08:00:00,6.27324,1.34329,6.14997,-46.78337,-2.18725,-7.24835,0.66265,-0.1761,72.63648,-10.44584,-2.302372,0.48064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.45126,-0.11957,-1.26434,50,6.10863,2.24621,-114.83828,-5.14673,4.56169,23.29738,-32.3321,SOU_RED,MIA_RED,SEMissouriState,D1,OVC,20260228-SEMissouriState-1,3ce6d570-14d0-11f1-8845-7db81f37f38d,78.42137,NA,NA,6.44919,NA,NA,NA,NA,NA,NA,98a966b5-59ec-480a-8ef9-f4dbba7818d4,2026-02-28,18:06:27,2026-02-28T18:06:27Z,2026-02-28T18:06:27Z,NA,v3,471444,471355,2c146fad927e4e3f86e052e41b672ad8,"Sims, Tank",10135104,Right,SOU_RED,4c0b4f7b-0b1e-414b-b365-5d4da0ca8ca0,54.34926,-115.71725,11.64869,6.2798,-3.92689,-16.16605,-1.34584,2.07411,2.28084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2026-02-28,12:06:54,2,1,"Pennington, Mason",10062091,Right,SOU_RED,"Harrison, Tommy",811731,Left,MIA_RED,Undefined,1,Top,1,0,0,Fastball,Four-Seam,InPlay,Undefined,Popup,Out,1,0,NA,88.02191,-2.117342,-2.196587,1951.272797,195.745664,12:30:00,6.41027,1.08095,6.75875,-15.18438,19.97481,5.29398,3.20873,-0.48511,79.9559,-5.082557,-1.231675,0.426767,68.48849,64.538826,-29.614855,NA,NA,NA,NA,136.21171,125.02377,-44.249521,5.116457,-3.47803,11.58461,-0.93905,50,6.26541,4.70937,-127.82026,-5.06026,-5.70473,28.45315,-13.17264,SOU_RED,MIA_RED,SEMissouriState,D1,OVC,20260228-SEMissouriState-1,4d1ee720-14d0-11f1-8845-7db81f37f38d,88.32092,106.89287,NA,8.06602,NA,NA,NA,1.12375,3.73115,0.35962,98a966b5-59ec-480a-8ef9-f4dbba7818d4,2026-02-28,18:06:54,2026-02-28T18:06:54Z,2026-02-28T18:06:54Z,Popup,v3,471444,471355,2c146fad927e4e3f86e052e41b672ad8,"Sims, Tank",10135104,Right,SOU_RED,f5e3b590-5af0-4156-a613-8ab7c656eeb6,53.73934,-128.64995,14.22657,6.40737,-4.67614,-6.58632,-1.0788,4.87573,-2.85236,162.38529,1.12318,37.52604,-11.2312,2.74007,0.03471,-0.28587,0.09627,-0.01378,7.4e-4,3.72152,90.88165,-24.42902,3.42756,-1.22717,0.36547,-0.06511,0.00566,-1.7e-4,0.35756,-21.30859,0.06243,0.34933,-0.05207,-0.03798,0.01907,-0.0033,2e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2026-02-28,12:07:28,3,1,"Pennington, Mason",10062091,Right,SOU_RED,"Appelwick, Evan",695485,Right,MIA_RED,Undefined,1,Top,2,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,89.24845,-3.366847,-2.738612,1999.971994,198.376699,12:30:00,6.38233,1.0252,6.81427,-16.02304,17.86245,5.5813,1.96818,-1.01025,81.9643,-6.448515,-1.720669,0.418966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.68524,10.70032,-0.85028,50,6.15833,5.98702,-129.51721,-8.00109,-6.27722,26.34452,-13.94771,SOU_RED,MIA_RED,SEMissouriState,D1,OVC,20260228-SEMissouriState-1,61234310-14d0-11f1-8845-7db81f37f38d,89.96545,NA,NA,7.28415,NA,NA,NA,NA,NA,NA,98a966b5-59ec-480a-8ef9-f4dbba7818d4,2026-02-28,18:07:28,2026-02-28T18:07:28Z,2026-02-28T18:07:28Z,NA,v3,471444,471355,2c146fad927e4e3f86e052e41b672ad8,"Sims, Tank",10135104,Right,SOU_RED,baf6b210-5036-45ea-ae2f-50c5f48c2641,53.68352,-130.26431,13.17226,6.37963,-7.60555,-6.97386,-1.02258,6.16504,-3.13861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2026-02-28,12:07:40,3,2,"Pennington, Mason",10062091,Right,SOU_RED,"Appelwick, Evan",695485,Right,MIA_RED,Undefined,1,Top,2,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,81.18134,-2.910469,-3.344344,2007.053087,233.704938,01:45:00,6.23545,1.14459,6.73457,-27.74309,14.19217,17.1617,1.25719,-0.4847,73.29418,-8.192256,-0.216394,0.466081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.08178,8.93516,-0.92935,50,6.03268,6.25571,-117.56747,-6.67712,-13.84573,26.19411,-19.90299,SOU_RED,MIA_RED,SEMissouriState,D1,OVC,20260228-SEMissouriState-1,688c8a30-14d0-11f1-8845-7db81f37f38d,80.87107,NA,NA,7.88716,NA,NA,NA,NA,NA,NA,98a966b5-59ec-480a-8ef9-f4dbba7818d4,2026-02-28,18:07:40,2026-02-28T18:07:40Z,2026-02-28T18:07:40Z,NA,v3,471444,471355,2c146fad927e4e3f86e052e41b672ad8,"Sims, Tank",10135104,Right,SOU_RED,355a2f4e-865b-465b-9d13-dcbd0dc7545a,53.76049,-118.40234,13.09705,6.23538,-6.04276,-9.9515,-1.13576,6.69701,-6.92287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2026-02-28,12:07:57,3,3,"Pennington, Mason",10062091,Right,SOU_RED,"Appelwick, Evan",695485,Right,MIA_RED,Undefined,1,Top,2,1,1,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,NA,88.94945,-2.470711,-1.060736,2018.907954,202.297324,12:45:00,6.44021,1.05248,6.76211,-15.48981,19.19182,7.35012,2.89113,0.69613,80.21787,-5.502224,0.280516,0.423859,77.64589,19.668293,0.126197,1508.653799,109.92283,24.94494,4.11883,221.42418,221.42418,4.682557,2.539662,-4.23685,11.3328,-0.9856,50,6.27231,2.11356,-129.10721,-5.91078,-7.03027,31.12356,-13.36941,SOU_RED,MIA_RED,SEMissouriState,D1,OVC,20260228-SEMissouriState-1,72623d70-14d0-11f1-8845-7db81f37f38d,88.9269,24.99415,NA,8.73159,NA,NA,NA,0.99682,2.90513,-0.71493,98a966b5-59ec-480a-8ef9-f4dbba7818d4,2026-02-28,18:07:57,2026-02-28T18:07:57Z,2026-02-28T18:07:57Z,LineDrive,v3,471444,471355,2c146fad927e4e3f86e052e41b672ad8,"Sims, Tank",10135104,Right,SOU_RED,0fd0920e-66ec-454d-9cf3-d20669b50aa9,53.73449,-130.00435,15.56178,6.43713,-5.5254,-6.6847,-1.04945,2.31621,-3.51513,243.933365,0.99673,107.24065,-11.29029,1.9953,-0.55457,0.21966,-0.08208,0.01719,-0.00136,2.90518,38.3267,-17.78325,1.11478,-0.07504,-0.05447,0.03251,-0.00618,3.2e-4,-0.71487,0.23225,4.72472,-1.40504,0.53437,-0.24147,0.08932,-0.01863,0.00159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2026-02-28,12:08:32,4,1,"Pennington, Mason",10062091,Right,SOU_RED,"Novak, Ryan",10035937,Left,MIA_RED,Undefined,1,Top,2,0,0,Fastball,Four-Seam,InPlay,Undefined,Popup,Out,1,0,NA,87.37953,-2.516575,-2.423987,1891.852402,199.208185,12:45:00,6.43083,1.20315,6.76941,-19.67836,15.94769,5.14071,2.48939,-0.58327,79.66164,-6.288298,-1.48663,0.429591,60.93556,60.688767,-47.240855,3828.588597,60.31999,65.76377,-91.98627,149.28992,67.50829,-57.590479,4.407152,-3.45418,9.55961,-1.04673,50,6.2587,5.18508,-126.85706,-6.07038,-5.59202,27.53374,-16.69789,SOU_RED,MIA_RED,SEMissouriState,D1,OVC,20260228-SEMissouriState-1,877a0530-14d0-11f1-8845-7db81f37f38d,87.74025,80.49408,NA,7.71788,NA,NA,NA,2.33554,2.59006,0.55929,98a966b5-59ec-480a-8ef9-f4dbba7818d4,2026-02-28,18:08:32,2026-02-28T18:08:32Z,2026-02-28T18:08:32Z,Popup,v3,471444,471355,2c146fad927e4e3f86e052e41b672ad8,"Sims, Tank",10135104,Right,SOU_RED,5b245630-2c88-482d-924e-6d517abc3c65,53.72897,-127.66385,13.76687,6.4294,-5.5811,-8.34895,-1.20107,5.34893,-2.79601,149.00819,2.35511,29.19285,-4.33246,-3.25523,4.59581,-2.5139,0.71145,-0.10133,0.00574,2.59222,77.87593,-22.23124,1.54733,0.14794,-0.23749,0.07905,-0.01194,7e-4,0.56677,-32.32549,1.47919,-1.88703,2.03673,-1.12459,0.33053,-0.04893,0.00287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2026-02-28,12:11:33,1,1,"Geiser, Jack",1000362743,Right,MIA_RED,"Klein, Caleb",1000329534,Right,SOU_RED,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,89.8342,-2.285182,-1.121986,1943.75139,191.385054,12:30:00,6.18404,0.85901,5.63894,-23.04887,11.5769,2.13162,2.12994,-0.01018,83.13003,-6.541657,-0.740955,0.423517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.35732,6.75646,-0.76506,50,5.97504,2.46266,-130.48376,-6.01025,-2.36589,24.62502,-20.39725,SOU_RED,MIA_RED,SEMissouriState,D1,OVC,20260228-SEMissouriState-1,f394bbc0-14d0-11f1-8845-7db81f37f38d,88.99861,NA,NA,6.70417,NA,NA,NA,NA,NA,NA,98a966b5-59ec-480a-8ef9-f4dbba7818d4,2026-02-28,18:11:33,2026-02-28T18:11:33Z,2026-02-28T18:11:33Z,NA,v3,471444,471355,2c146fad927e4e3f86e052e41b672ad8,"Buffington, Matthew",825106,Right,MIA_RED,8f7bd90f-fe10-4552-9960-29728f567f98,54.85973,-131.3977,12.31251,6.18406,-5.25323,-10.19863,-0.85808,2.55047,-1.18295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
