PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4
1,2026-03-24,17:08:44.17,1,1,"Malki, Michael",836280,Right,CAL_LAN,"Pitts, Robert",702975,Left,CAL_HIG,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallFieldable,Undefined,Undefined,Undefined,0,0,,91.84085,-3.022964,-0.280923,2155.765727,205.036025,12:45,6.12112,0.13068,6.04605,-14.12536,19.20525,8.41741,2.1428,0.57206,83.13328,-5.749424,1.234583,0.415521,,,,,,,,,,,,-4.44733,11.20705,-0.11341,50,5.87816,0.29718,-133.16552,-7.41214,-7.88792,31.86974,-12.29689,CAL_LAN,CAL_HIG,705-CalBaptistBaseballField,D1,WAC,20260324-705-CalBaptistBaseballField-1,c9cc7a00-27de-11f1-8c39-cddde8032520,90.71123,,,8.70757,,,,,,,b5b70a4a-71c0-4277-9df6-ecfef32cff3b,2026-03-25,00:08:44.17,2026-03-24T17:08:44.1747968-07:00,2026-03-25T00:08:44.1747968Z,,v3,471762,471263,5d621ee7cb1d4abca28d47b023c63961,"Chavez, Matthew",1000119380,Right,CAL_LAN,4082007a-0073-4a6b-9aab-4cc016db3d1a,54.45086,-134.22649,15.93487,6.1181,-7.00277,-6.14844,-0.12767,0.55977,-3.94396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-03-24,17:09:17.23,1,2,"Malki, Michael",836280,Right,CAL_LAN,"Pitts, Robert",702975,Left,CAL_HIG,Undefined,1,Top,0,0,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,82.43805,-1.187551,-1.766986,2410.98986,62.219633,8:00,5.99743,0.3298,5.60709,-40.72983,1.31406,-0.27791,1.49409,-1.34324,75.05472,-8.653021,-1.816682,0.466684,,,,,,,,,,,,-0.41441,1.48728,-0.17851,50,5.86977,3.6984,-119.51732,-3.8802,-0.592,25.6969,-30.0494,CAL_LAN,CAL_HIG,705-CalBaptistBaseballField,D1,WAC,20260324-705-CalBaptistBaseballField-1,dd8e0090-27de-11f1-8c39-cddde8032520,80.76653,,,7.38333,,,,,,,b5b70a4a-71c0-4277-9df6-ecfef32cff3b,2026-03-25,00:09:17.23,2026-03-24T17:09:17.2392448-07:00,2026-03-25T00:09:17.2392448Z,,v3,471762,471263,5d621ee7cb1d4abca28d47b023c63961,"Chavez, Matthew",1000119380,Right,CAL_LAN,4ad4dd14-682a-4c1a-8921-312683f8b7d3,54.88901,-120.56391,12.84845,6.00288,-2.65635,-15.0247,-0.32963,3.72251,-0.296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-03-24,17:09:32.08,1,3,"Malki, Michael",836280,Right,CAL_LAN,"Pitts, Robert",702975,Left,CAL_HIG,Undefined,1,Top,0,0,2,Curveball,Curveball,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,80.40182,1.026911,-0.02592,2814.173293,18.289092,6:30,6.23492,-0.05499,5.27974,-57.0759,-12.36394,-4.59398,2.44312,-0.46217,73.22045,-9.316894,-0.843525,0.481264,,,,,,,,,,,,2.28244,-6.01268,0.06082,50,6.28677,0.244,-116.63609,-0.00533,3.1014,24.7206,-40.34417,CAL_LAN,CAL_HIG,705-CalBaptistBaseballField,D1,WAC,20260324-705-CalBaptistBaseballField-1,e6649350-27de-11f1-8c39-cddde8032520,78.31971,,,7.18137,,,,,,,b5b70a4a-71c0-4277-9df6-ecfef32cff3b,2026-03-25,00:09:32.08,2026-03-24T17:09:32.0850000-07:00,2026-03-25T00:09:32.0850000Z,,v3,471762,471263,5d621ee7cb1d4abca28d47b023c63961,"Chavez, Matthew",1000119380,Right,CAL_LAN,74457248-77a5-4ae1-a44e-bbb7749e173a,55.21957,-117.73716,12.3603,6.24699,1.79162,-20.17209,0.05303,0.10587,1.5507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.71896,,,0.909375,,,,5.55931,4.73007,3.20511,68.0731,7.7073,-56.71169,5.57715,71.76276,-3.33259,4.76381,15.69139,-13.67797,3.11029,-73.84328,8.81727,High,High,High,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-03-24,17:10:05.88,2,1,"Malki, Michael",836280,Right,CAL_LAN,"Gibbs, David",1000450203,Left,CAL_HIG,Undefined,1,Top,1,0,0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,83.14001,-1.783188,-0.808504,1349.833818,263.212085,2:45,6.0025,0.44137,5.83847,-37.60506,3.48378,16.93568,1.21076,1.1012,75.49616,-8.719194,2.235392,0.461353,,,,,,,,,,,,-8.87426,2.82071,-0.38526,50,5.83548,1.01658,-120.57234,-5.00219,-12.85431,26.94924,-28.08828,CAL_LAN,CAL_HIG,705-CalBaptistBaseballField,D1,WAC,20260324-705-CalBaptistBaseballField-1,fa8f14e0-27de-11f1-8c39-cddde8032520,81.69977,,,7.64385,,,,,,,b5b70a4a-71c0-4277-9df6-ecfef32cff3b,2026-03-25,00:10:05.88,2026-03-24T17:10:05.8815488-07:00,2026-03-25T00:10:05.8815488Z,,v3,471762,471263,5d621ee7cb1d4abca28d47b023c63961,"Chavez, Matthew",1000119380,Right,CAL_LAN,b7cecfe2-69ce-4f26-971a-95e707000360,54.65774,-121.60894,13.47462,6.00711,-3.92177,-14.04414,-0.43387,1.51102,-6.42715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-03-24,17:10:21.15,2,2,"Malki, Michael",836280,Right,CAL_LAN,"Gibbs, David",1000450203,Left,CAL_HIG,Undefined,1,Top,1,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.85435,-4.264647,-0.119744,2216.037376,194.07788,12:30,6.14022,0.1051,5.90681,-11.63615,21.41781,5.05764,1.20476,0.41543,83.58803,-6.54171,0.788324,0.413793,,,,,,,,,,,,-2.62551,12.72217,-0.09837,50,5.79083,0.05554,-134.31758,-10.29276,-4.71342,33.79453,-9.33474,CAL_LAN,CAL_HIG,705-CalBaptistBaseballField,D1,WAC,20260324-705-CalBaptistBaseballField-1,039ac160-27df-11f1-8c39-cddde8032520,91.09009,,,9.26632,,,,,,,b5b70a4a-71c0-4277-9df6-ecfef32cff3b,2026-03-25,00:10:21.15,2026-03-24T17:10:21.1591680-07:00,2026-03-25T00:10:21.1591680Z,,v3,471762,471263,5d621ee7cb1d4abca28d47b023c63961,"Chavez, Matthew",1000119380,Right,CAL_LAN,fc72a298-5965-4ea8-85d6-be76a2954308,54.58802,-135.46702,16.89727,6.13551,-9.97526,-4.66737,-0.10299,0.21586,-2.35671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-03-24,17:10:36.04,2,3,"Malki, Michael",836280,Right,CAL_LAN,"Gibbs, David",1000450203,Left,CAL_HIG,Undefined,1,Top,1,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.9563,-0.046669,1.057529,2598.020424,25.328711,6:45,6.03387,0.30019,5.40217,-40.94538,0.75453,-0.31406,2.57802,1.26505,75.50158,-7.539357,1.001598,0.464771,,,,,,,,,,,,0.48043,0.83933,-0.39417,50,6.00128,-2.20772,-120.3183,-1.56531,0.69756,25.41897,-30.95537,CAL_LAN,CAL_HIG,705-CalBaptistBaseballField,D1,WAC,20260324-705-CalBaptistBaseballField-1,0c7f0fc0-27df-11f1-8c39-cddde8032520,81.09896,,,7.45473,,,,,,,b5b70a4a-71c0-4277-9df6-ecfef32cff3b,2026-03-25,00:10:36.04,2026-03-24T17:10:36.0424960-07:00,2026-03-25T00:10:36.0424960Z,,v3,471762,471263,5d621ee7cb1d4abca28d47b023c63961,"Chavez, Matthew",1000119380,Right,CAL_LAN,c060e153-fb23-4a00-bef8-a2d351e0975f,55.09397,-121.38971,12.70949,6.03976,-0.26055,-15.47768,-0.3005,-2.23712,0.34878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-03-24,17:10:55.89,2,4,"Malki, Michael",836280,Right,CAL_LAN,"Gibbs, David",1000450203,Left,CAL_HIG,Undefined,1,Top,1,2,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,91.51038,-3.888732,0.051076,2259.442023,199.089552,12:45,6.07441,0.24509,6.06679,-12.8819,20.75355,6.76181,1.39671,0.85584,82.79071,-6.39037,1.268861,0.417417,,,,,,,,,,,,-3.45709,12.25843,-0.25254,50,5.76577,-0.40899,-132.53222,-9.3224,-6.07197,31.62993,-10.64361,CAL_LAN,CAL_HIG,705-CalBaptistBaseballField,D1,WAC,20260324-705-CalBaptistBaseballField-1,18517d60-27df-11f1-8c39-cddde8032520,90.29928,,,8.71967,,,,,,,b5b70a4a-71c0-4277-9df6-ecfef32cff3b,2026-03-25,00:10:55.89,2026-03-24T17:10:55.8997504-07:00,2026-03-25T00:10:55.8997504Z,,v3,471762,471263,5d621ee7cb1d4abca28d47b023c63961,"Chavez, Matthew",1000119380,Right,CAL_LAN,0387dcc7-c83a-4ccf-ba35-d14ba7c9d589,54.42842,-133.58492,15.81496,6.07014,-8.96816,-5.32181,-0.24229,-0.20691,-3.03598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-03-24,17:11:16.62,2,5,"Malki, Michael",836280,Right,CAL_LAN,"Gibbs, David",1000450203,Left,CAL_HIG,Undefined,1,Top,1,2,2,Curveball,Curveball,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,78.67658,2.073562,1.609434,3002.472045,21.708025,6:45,6.14503,0.18932,5.17855,-65.92594,-18.66824,-8.11839,2.60387,1.02753,71.1674,-9.847129,0.167855,0.494775,,,,,,,,,,,,4.55925,-9.37823,-0.33265,50,6.28796,-2.86254,-113.97636,1.68668,5.87173,25.04126,-44.25202,CAL_LAN,CAL_HIG,705-CalBaptistBaseballField,D1,WAC,20260324-705-CalBaptistBaseballField-1,24b83bc0-27df-11f1-8c39-cddde8032520,76.18098,,,7.50918,,,,,,,b5b70a4a-71c0-4277-9df6-ecfef32cff3b,2026-03-25,00:11:16.62,2026-03-24T17:11:16.6270000-07:00,2026-03-25T00:11:16.6270000Z,,v3,471762,471263,5d621ee7cb1d4abca28d47b023c63961,"Chavez, Matthew",1000119380,Right,CAL_LAN,e041355f-5777-4471-b293-e33b5fd0b46b,55.32188,-115.13967,12.52063,6.16185,3.74244,-22.12601,-0.19333,-3.13532,2.93587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.40967,2.6329,1.683046,0.949854,-1.14237,2.14568,-1.03347,0.86117,5.02675,-2.5141,71.00639,6.32009,-53.77462,0.89412,77.75287,-4.13067,5.07657,15.02929,-14.4178,-2.59169,-60.11405,6.51943,High,High,High,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-03-24,17:11:44.37,3,1,"Malki, Michael",836280,Right,CAL_LAN,"Bonham, Lucas",1000275162,Right,CAL_HIG,Undefined,1,Top,2,0,0,Slider,Slider,InPlay,Undefined,LineDrive,Out,1,0,,82.63795,-0.486787,-1.243001,2525.562581,51.90329,7:45,6.00316,0.40237,5.84291,-40.28656,1.42835,-0.13626,2.19345,-0.76431,74.62264,-7.937382,-1.267485,0.464854,87.70797,19.563615,18.292647,3470.19139,102.3826,30.55683,40.22103,283.34715,268.68492,25.629523,3.18105,-0.34839,1.34386,-0.30112,50,5.94021,2.60532,-119.82183,-2.35365,-0.49639,27.44818,-30.25917,CAL_LAN,CAL_HIG,705-CalBaptistBaseballField,D1,WAC,20260324-705-CalBaptistBaseballField-1,35412c90-27df-11f1-8c39-cddde8032520,81.08439,33.79921,,8.0153,,,,0.61141,2.08646,0.7702,b5b70a4a-71c0-4277-9df6-ecfef32cff3b,2026-03-25,00:11:44.37,2026-03-24T17:11:44.3742720-07:00,2026-03-25T00:11:44.3742720Z,LineDrive,v3,471762,471263,5d621ee7cb1d4abca28d47b023c63961,"Chavez, Matthew",1000119380,Right,CAL_LAN,4945fa87-76ce-4829-ab72-cef89c5d4a3c,54.65258,-120.88293,13.72409,6.00859,-1.18389,-15.12959,-0.40221,2.62451,-0.2482,223.864923,0.6116,115.0802,-18.42633,3.81158,-0.71209,0.11672,-0.01721,0.00178,-6E-05,2.08619,43.08421,-15.58335,0.78217,-0.14483,0.04259,-0.01021,0.00224,-0.00023,0.77003,38.05037,1.0474,-0.66499,0.22098,-0.07606,0.02459,-0.00483,0.0004,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-03-24,17:15:06.94,1,1,"Higgins, Ryan",10971964,Left,CAL_HIG,"Ramirez, Christian",10277888,Right,CAL_LAN,Undefined,1,Bottom,0,0,0,ChangeUp,Changeup,InPlay,Undefined,LineDrive,Double,0,0,,79.08787,1.538379,3.686814,2284.173537,85.820528,8:45,4.62992,-2.12305,5.54562,-46.10207,0.23209,-21.02257,2.22904,-0.42482,70.9144,-6.960591,-0.055722,0.489916,97.34732,24.152838,-12.939868,1618.958968,107.24649,44.15004,-24.45697,381.43258,375.50924,-13.734737,4.408489,11.94316,0.03283,1.81815,50,4.73288,-6.54632,-114.40186,1.55373,15.47355,25.51081,-32.1315,CAL_LAN,CAL_HIG,705-CalBaptistBaseballField,D1,WAC,20260324-705-CalBaptistBaseballField-1,adfd87a0-27df-11f1-8c39-cddde8032520,76.93648,61.88405,,8.17348,,,,2.93008,2.42396,0.42657,b5b70a4a-71c0-4277-9df6-ecfef32cff3b,2026-03-25,00:15:06.94,2026-03-24T17:15:06.9403136-07:00,2026-03-25T00:15:06.9403136Z,FlyBall,v3,471762,471263,5d621ee7cb1d4abca28d47b023c63961,"Sepulveda, Esteban",832508,Right,CAL_HIG,5edf2f7b-150d-4b62-ad3c-4a188ed651ef,54.95244,-115.50094,12.7554,4.63612,2.93804,-16.06575,2.11454,-7.21296,7.73678,171.827261,2.92955,126.98459,-20.62594,4.82979,-1.09493,0.24742,-0.04722,0.00579,-0.00031,2.42501,58.38873,-15.23248,0.29202,0.21673,-0.12552,0.03481,-0.00471,0.00025,0.42678,-29.17674,3.2697,-0.54307,0.11954,-0.03775,0.00992,-0.00142,8E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
