PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4
1,2026-03-25,12:08:55.13,1,1,"Keener, Sean",10323113,Right,YOU_HAR,"Cartwright, Ian",10093022,Right,UNI_MON,Undefined,1,Top,0,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.78142,-1.260168,-3.006946,1797.912636,252.862427,2:30,5.64754,2.73515,6.29686,-33.24545,6.5039,16.49674,1.7141,1.33656,75.92945,-7.481731,-0.023722,0.453771,,,,,,,,,,,,-9.53008,4.19957,-2.52145,50,5.53896,5.756,-121.50301,-3.67996,-14.04388,26.96872,-25.98538,YOU_HAR,UNI_MON,TheZellB.MillerField,D2,CC,20260325-TheZellB.MillerField-1,eca6a1a0-2864-11f1-a066-83e430874ba4,83.06495,,,7.85197,,,,,,,222661f9-c1dd-4f70-b93f-7cd94c939f60,2026-03-25,16:08:55.13,2026-03-25T12:08:55.1331840-04:00,2026-03-25T16:08:55.1331840Z,,v3,,,,"Alford, Kaden",1000305925,Right,YOU_HAR,d472963d-3630-4480-b3b2-3bdb5810a6f0,54.2039,-122.43255,13.48436,5.65036,-2.78431,-12.99269,-2.72819,6.24006,-7.02194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-03-25,12:09:09.85,1,2,"Keener, Sean",10323113,Right,YOU_HAR,"Cartwright, Ian",10093022,Right,UNI_MON,Undefined,1,Top,0,1,0,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,78.27568,1.329851,-3.195744,2493.269543,84.536462,8:45,5.6426,2.78077,5.90411,-44.88593,1.02169,-4.80319,3.13877,-0.58923,71.52578,-6.946361,-4.055601,0.487656,64.07824,34.40655,147.440993,4542.101259,,,,,40.92296,,,1.53189,0.51327,-2.5208,50,5.72377,6.51229,-113.51543,1.25217,1.98615,22.01172,-31.50859,YOU_HAR,UNI_MON,TheZellB.MillerField,D2,CC,20260325-TheZellB.MillerField-1,f56abdd0-2864-11f1-a066-83e430874ba4,77.29304,24.95451,,6.7499,,,,1.69685,3.02289,0.7239,222661f9-c1dd-4f70-b93f-7cd94c939f60,2026-03-25,16:09:09.85,2026-03-25T12:09:09.8569728-04:00,2026-03-25T16:09:09.8569728Z,,v3,,,,"Alford, Kaden",1000305925,Right,YOU_HAR,2b2df67f-a946-4080-9e71-7c92c81fb203,54.59838,-114.40363,11.00586,5.64759,2.52357,-15.7543,-2.78196,6.43214,0.99307,,1.69685,-65.35291,2.75059,1.45931,-0.59613,0.18816,-0.04157,0.00829,-0.00028,3.02289,53.10518,-27.85415,3.93946,-0.80833,0.14733,-0.02906,0.00816,-0.0017,0.7239,41.72908,-9.50822,2.24888,-0.49595,0.08052,-0.0155,0.003,-0.00019,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-03-25,12:09:28.39,1,3,"Keener, Sean",10323113,Right,YOU_HAR,"Cartwright, Ian",10093022,Right,UNI_MON,Undefined,1,Top,0,1,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,78.0885,-0.912311,-3.26909,2516.703674,103.000331,9:30,5.62459,2.60066,6.10377,-43.00168,2.73099,-5.48457,1.19594,-0.88302,71.77417,-8.835432,-4.256005,0.486726,,,,,,,,,,,,1.87642,2.12524,-2.34621,50,5.53191,6.66618,-113.27946,-3.09244,2.4257,21.68366,-29.42666,YOU_HAR,UNI_MON,TheZellB.MillerField,D2,CC,20260325-TheZellB.MillerField-1,00806b20-2865-11f1-a066-83e430874ba4,77.44077,,,6.31433,,,,,,,222661f9-c1dd-4f70-b93f-7cd94c939f60,2026-03-25,16:09:28.39,2026-03-25T12:09:28.3945984-04:00,2026-03-25T16:09:28.3945984Z,,v3,,,,"Alford, Kaden",1000305925,Right,YOU_HAR,5f348669-8afc-4e58-b6cc-2e3b91f47c96,54.39761,-114.11813,10.84183,5.62951,-1.95428,-14.71333,-2.60222,6.57237,1.21285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-03-25,12:09:45.55,1,4,"Keener, Sean",10323113,Right,YOU_HAR,"Cartwright, Ian",10093022,Right,UNI_MON,Undefined,1,Top,0,1,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,74.79835,-0.564664,-3.220875,2663.680477,61.02836,8:00,5.80869,2.61219,5.75544,-54.36814,-3.21827,-9.0893,0.75151,-1.14676,68.22504,-10.492782,-4.847487,0.514747,,,,,,,,,,,,3.5528,-0.89591,-2.33914,50,5.72907,6.42706,-108.34322,-2.75161,4.14398,22.22873,-33.21905,YOU_HAR,UNI_MON,TheZellB.MillerField,D2,CC,20260325-TheZellB.MillerField-1,0ab94d00-2865-11f1-a066-83e430874ba4,73.22519,,,6.57331,,,,,,,222661f9-c1dd-4f70-b93f-7cd94c939f60,2026-03-25,16:09:45.55,2026-03-25T12:09:45.5580160-04:00,2026-03-25T16:09:45.5580160Z,,v3,,,,"Alford, Kaden",1000305925,Right,YOU_HAR,c551d4c2-0c93-4450-82ca-b36690ead21f,54.74542,-109.3125,11.11436,5.81747,-1.3031,-16.60952,-2.61545,6.24636,2.07199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-03-25,12:10:04.99,1,5,"Keener, Sean",10323113,Right,YOU_HAR,"Cartwright, Ian",10093022,Right,UNI_MON,Undefined,1,Top,0,2,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,78.03638,2.218099,-2.550036,2443.51607,82.669456,8:45,5.73677,2.55885,5.77983,-45.21589,1.23555,-2.23945,4.03576,-0.00211,71.03704,-6.121942,-2.950282,0.490536,,,,,,,,,,,,0.38,0.44177,-2.34686,50,5.89303,5.12276,-113.11631,2.95035,0.48914,21.89964,-31.60544,YOU_HAR,UNI_MON,TheZellB.MillerField,D2,CC,20260325-TheZellB.MillerField-1,164e3c70-2865-11f1-a066-83e430874ba4,76.83929,,,6.99934,,,,,,,222661f9-c1dd-4f70-b93f-7cd94c939f60,2026-03-25,16:10:04.99,2026-03-25T12:10:04.9957376-04:00,2026-03-25T16:10:04.9957376Z,,v3,,,,"Alford, Kaden",1000305925,Right,YOU_HAR,f232867c-9062-4ca1-bdff-2c243226aca1,54.72077,-114.0266,10.94982,5.74309,4.26408,-15.80272,-2.55937,5.10243,0.24457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-03-25,12:10:23.60,1,6,"Keener, Sean",10323113,Right,YOU_HAR,"Cartwright, Ian",10093022,Right,UNI_MON,Undefined,1,Top,0,3,2,Fastball,Changeup,InPlay,Undefined,GroundBall,Single,0,0,,85.72743,-0.528215,-5.42052,1951.646404,249.019093,2:15,5.6178,2.67552,6.3487,-29.78541,7.90725,17.38403,2.64723,-0.88063,78.16062,-6.106079,-2.291556,0.441875,97.81094,-7.922313,23.948873,,,,,19.38506,18.3451,25.072116,0.127847,-10.63945,4.62792,-2.28873,50,5.56522,11.1206,-124.11655,-2.04629,-16.54924,25.50281,-24.97548,YOU_HAR,UNI_MON,TheZellB.MillerField,D2,CC,20260325-TheZellB.MillerField-1,215766a0-2865-11f1-a066-83e430874ba4,85.30107,2.60208,,7.56681,,,,1.07427,2.60208,0.81896,222661f9-c1dd-4f70-b93f-7cd94c939f60,2026-03-25,16:10:23.60,2026-03-25T12:10:23.6034048-04:00,2026-03-25T16:10:23.6034048Z,GroundBall,v3,,,,"Alford, Kaden",1000305925,Right,YOU_HAR,62e0cd81-16ae-44d6-bc61-7d257c311536,54.15403,-124.96718,12.7514,5.61958,-1.21325,-12.48774,-2.66886,11.6726,-8.27462,203.588615,1.07432,129.84831,-7.1368,,,,,,,2.60204,-19.76862,-4.57041,,,,,,,0.81895,57.6771,1.33229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-03-25,12:10:55.64,2,1,"Keener, Sean",10323113,Right,YOU_HAR,"Turner, McGwire",10034129,Right,UNI_MON,Undefined,1,Top,0,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,77.49194,0.82111,-0.343684,2394.93857,102.830987,9:30,5.7228,2.64606,5.90965,-44.20471,2.10232,-3.10996,2.8013,2.06788,71.37759,-7.325082,-0.902624,0.489773,,,,,,,,,,,,1.52807,1.15835,-2.61657,50,5.76288,0.78407,-112.67369,0.27587,1.96738,20.18261,-30.68269,YOU_HAR,UNI_MON,TheZellB.MillerField,D2,CC,20260325-TheZellB.MillerField-1,347707e0-2865-11f1-a066-83e430874ba4,76.95898,,,6.11435,,,,,,,222661f9-c1dd-4f70-b93f-7cd94c939f60,2026-03-25,16:10:55.64,2026-03-25T12:10:55.6403712-04:00,2026-03-25T16:10:55.6403712Z,,v3,,,,"Alford, Kaden",1000305925,Right,YOU_HAR,2efb449a-6a95-476d-a3af-c5338b13235a,54.5947,-113.49373,10.0913,5.72635,1.52254,-15.34134,-2.64681,0.70413,0.98369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-03-25,12:11:12.21,2,2,"Keener, Sean",10323113,Right,YOU_HAR,"Turner, McGwire",10034129,Right,UNI_MON,Undefined,1,Top,0,1,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,77.16756,2.750661,-1.181711,2500.192918,82.965568,8:45,5.65904,2.57354,6.00011,-46.11912,0.93437,-4.87213,4.36715,1.07235,70.21371,-5.797834,-2.057225,0.493705,,,,,,,,,,,,2.14075,0.15437,-2.47792,50,5.85069,2.48802,-111.94254,3.97666,2.69898,21.41783,-31.97942,YOU_HAR,UNI_MON,TheZellB.MillerField,D2,CC,20260325-TheZellB.MillerField-1,3e5baf40-2865-11f1-a066-83e430874ba4,76.34609,,,6.95384,,,,,,,222661f9-c1dd-4f70-b93f-7cd94c939f60,2026-03-25,16:11:12.21,2026-03-25T12:11:12.2145280-04:00,2026-03-25T16:11:12.2145280Z,,v3,,,,"Alford, Kaden",1000305925,Right,YOU_HAR,fa5dfa46-8f9f-41c9-a816-72ce34922556,54.50049,-112.80033,10.70891,5.66578,5.25744,-15.98971,-2.5754,2.37992,1.34949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-03-25,12:11:32.54,2,3,"Keener, Sean",10323113,Right,YOU_HAR,"Turner, McGwire",10034129,Right,UNI_MON,Undefined,1,Top,0,2,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.98339,-0.464274,-2.486726,1892.561716,251.193045,2:15,5.7359,2.67445,6.1826,-32.36147,5.95898,13.90768,2.60996,1.53561,77.765,-6.4923,0.023044,0.44554,,,,,,,,,,,,-8.0367,3.52469,-2.49397,50,5.68413,4.84855,-123.46806,-2.00559,-12.36667,25.30772,-26.75035,YOU_HAR,UNI_MON,TheZellB.MillerField,D2,CC,20260325-TheZellB.MillerField-1,4a705600-2865-11f1-a066-83e430874ba4,84.59945,,,7.2184,,,,,,,222661f9-c1dd-4f70-b93f-7cd94c939f60,2026-03-25,16:11:32.54,2026-03-25T12:11:32.5431296-04:00,2026-03-25T16:11:32.5431296Z,,v3,,,,"Alford, Kaden",1000305925,Right,YOU_HAR,87372d47-25ef-4ab2-ad4b-460456baa566,54.32149,-124.35069,12.65386,5.73781,-1.07263,-13.37518,-2.67059,5.27985,-6.18334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-03-25,12:11:51.62,2,4,"Keener, Sean",10323113,Right,YOU_HAR,"Turner, McGwire",10034129,Right,UNI_MON,Undefined,1,Top,0,3,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.9207,-1.147401,-4.124313,1946.534127,245.704149,2:15,5.76011,2.55491,6.21675,-30.07195,8.30532,15.69434,2.19234,0.05003,77.80954,-6.756364,-1.297207,0.44587,,,,,,,,,,,,-9.24252,5.00355,-2.25281,50,5.65895,8.27,-123.1433,-3.39833,-14.20091,24.31325,-24.48619,YOU_HAR,UNI_MON,TheZellB.MillerField,D2,CC,20260325-TheZellB.MillerField-1,55d7ccd0-2865-11f1-a066-83e430874ba4,84.53681,,,7.11117,,,,,,,222661f9-c1dd-4f70-b93f-7cd94c939f60,2026-03-25,16:11:51.62,2026-03-25T12:11:51.6216320-04:00,2026-03-25T16:11:51.6216320Z,,v3,,,,"Alford, Kaden",1000305925,Right,YOU_HAR,d91b1878-9806-46d1-958e-93ca5c2e7181,54.28488,-123.98641,12.15662,5.76207,-2.54922,-12.24309,-2.54812,8.76244,-7.10046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
