PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4
1,2026-03-27,18:05:22.81,1,1,"Konstantinovsky, Zack",814149,Right,RUT_SCA,"Jefferis, Brayden",830089,Left,MIC_WOL,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.2233,0.159622,-2.518223,2326.440793,237.239494,2:00,4.76244,2.26828,5.91976,-19.6919,15.13111,21.54525,3.26972,1.72532,81.06493,-3.597044,1.347543,0.424722,,,,,,,,,,,,-11.77623,8.04626,-2.07846,50,4.76418,4.80422,-130.79458,-0.2323,-20.06716,31.78334,-18.46292,RUT_SCA,MIC_WOL,BaintonField,D1,BIG10,20260327-BaintonField-1,0d821290-2a29-11f1-879b-096047c9bb29,88.74619,,,9.15837,,,,,,,c6ebbc6f-f070-477c-8094-ee22a54f006e,2026-03-27,22:05:22.81,2026-03-27T18:05:22.8107264-04:00,2026-03-27T22:05:22.8107264Z,,v3,471422,2290,571f2829667c401cbf2102b4319513b3,"Wells, Trey",831089,Right,RUT_SCA,315a3055-1bb9-4809-8cb6-de259cd3c972,54.57677,-131.90205,15.89167,4.76107,0.41103,-9.23146,-2.25805,5.50345,-10.03358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-03-27,18:05:39.85,1,2,"Konstantinovsky, Zack",814149,Right,RUT_SCA,"Jefferis, Brayden",830089,Left,MIC_WOL,Undefined,1,Top,0,1,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.3047,0.597395,-2.768358,2345.297749,238.618702,2:00,4.76207,2.19544,5.85518,-20.00127,14.8669,22.29131,3.65102,1.47891,81.06466,-3.212759,1.225104,0.424997,,,,,,,,,,,,-12.20402,7.74843,-1.98327,50,4.79913,5.3366,-130.86488,0.74885,-20.81685,31.83746,-18.95726,RUT_SCA,MIC_WOL,BaintonField,D1,BIG10,20260327-BaintonField-1,17ad38d0-2a29-11f1-879b-096047c9bb29,88.6887,,,9.24005,,,,,,,c6ebbc6f-f070-477c-8094-ee22a54f006e,2026-03-27,22:05:39.85,2026-03-27T18:05:39.8538752-04:00,2026-03-27T22:05:39.8538752Z,,v3,471422,2290,571f2829667c401cbf2102b4319513b3,"Wells, Trey",831089,Right,RUT_SCA,58dc4222-b186-4ec2-a07a-07af5c507766,54.64136,-131.98922,15.91873,4.76086,1.41833,-9.47863,-2.18471,6.07175,-10.40843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-03-27,18:05:55.05,1,3,"Konstantinovsky, Zack",814149,Right,RUT_SCA,"Jefferis, Brayden",830089,Left,MIC_WOL,Undefined,1,Top,0,2,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.42832,-0.287619,-3.159506,2367.202544,239.980484,2:00,4.73381,2.15623,6.06134,-19.53281,15.14587,23.92253,2.83948,1.22262,80.85844,-4.033457,1.142065,0.423841,,,,,,,,,,,,-13.27327,8.24937,-1.92291,50,4.70112,6.18264,-130.99347,-1.23012,-22.56912,33.19632,-18.1473,RUT_SCA,MIC_WOL,BaintonField,D1,BIG10,20260327-BaintonField-1,20bf7500-2a29-11f1-879b-096047c9bb29,88.93065,,,9.56988,,,,,,,c6ebbc6f-f070-477c-8094-ee22a54f006e,2026-03-27,22:05:55.05,2026-03-27T18:05:55.0525440-04:00,2026-03-27T22:05:55.0525440Z,,v3,471422,2290,571f2829667c401cbf2102b4319513b3,"Wells, Trey",831089,Right,RUT_SCA,6f9a9d2d-9d5c-4be8-ae27-e4dfe947b2a1,54.43467,-132.11252,16.59816,4.73228,-0.61837,-9.07365,-2.14415,6.94345,-11.28456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-03-27,18:06:11.01,1,4,"Konstantinovsky, Zack",814149,Right,RUT_SCA,"Jefferis, Brayden",830089,Left,MIC_WOL,Undefined,1,Top,0,3,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.49269,-0.794336,-4.018199,2358.353339,239.049687,2:00,4.68524,2.11912,6.10891,-19.61355,15.59965,23.84671,2.31441,0.38465,80.43494,-4.548425,0.268517,0.427095,,,,,,,,,,,,-13.4815,8.65402,-1.8219,50,4.61386,8.08048,-129.59346,-2.36531,-22.57074,31.00682,-17.68545,RUT_SCA,MIC_WOL,BaintonField,D1,BIG10,20260327-BaintonField-1,2a3a3700-2a29-11f1-879b-096047c9bb29,88.25308,,,9.05775,,,,,,,c6ebbc6f-f070-477c-8094-ee22a54f006e,2026-03-27,22:06:11.01,2026-03-27T18:06:11.0187520-04:00,2026-03-27T22:06:11.0187520Z,,v3,471422,2290,571f2829667c401cbf2102b4319513b3,"Wells, Trey",831089,Right,RUT_SCA,be5d9e9f-0c28-42a5-88bf-7a481169be2d,54.38797,-130.63912,15.50341,4.68357,-1.76889,-8.84273,-2.10723,8.84164,-11.28537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-03-27,18:06:26.03,1,5,"Konstantinovsky, Zack",814149,Right,RUT_SCA,"Jefferis, Brayden",830089,Left,MIC_WOL,Undefined,1,Top,0,3,1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.14822,-0.627159,-3.740219,2323.691442,236.275248,2:00,4.8661,2.19389,5.95628,-18.07702,16.95497,23.40017,2.77682,0.67046,80.66136,-4.104496,0.455413,0.425994,,,,,,,,,,,,-13.09568,9.24406,-1.90875,50,4.80613,7.48605,-130.48242,-1.94535,-22.13677,32.4507,-16.54799,RUT_SCA,MIC_WOL,BaintonField,D1,BIG10,20260327-BaintonField-1,3331e650-2a29-11f1-879b-096047c9bb29,88.48112,,,9.48686,,,,,,,c6ebbc6f-f070-477c-8094-ee22a54f006e,2026-03-27,22:06:26.03,2026-03-27T18:06:26.0358656-04:00,2026-03-27T22:06:26.0358656Z,,v3,471422,2290,571f2829667c401cbf2102b4319513b3,"Wells, Trey",831089,Right,RUT_SCA,337b70c3-43a1-483b-9497-07d683d1bb8d,54.53916,-131.60646,16.22535,4.86359,-1.37216,-8.274,-2.18134,8.25283,-11.06838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-03-27,18:06:42.09,1,6,"Konstantinovsky, Zack",814149,Right,RUT_SCA,"Jefferis, Brayden",830089,Left,MIC_WOL,Undefined,1,Top,0,3,2,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.76484,-1.055799,-3.964726,2378.677822,235.97844,1:45,4.74757,2.10563,6.04127,-16.81044,17.73647,24.27903,2.36671,0.45219,81.02684,-4.312257,0.394191,0.423035,70.90102,36.987089,-156.331023,3197.144081,-101.14427,36.85617,-43.24073,175.96843,76.86761,-156.651674,2.655341,-13.90013,9.87253,-1.80938,50,4.65624,8.06861,-131.36272,-2.89152,-23.72739,33.82088,-15.32177,RUT_SCA,MIC_WOL,BaintonField,D1,BIG10,20260327-BaintonField-1,3cbe0d70-2a29-11f1-879b-096047c9bb29,89.10012,38.4057,,9.738,,,,1.6203,2.37946,-0.44256,c6ebbc6f-f070-477c-8094-ee22a54f006e,2026-03-27,22:06:42.09,2026-03-27T18:06:42.0961280-04:00,2026-03-27T22:06:42.0961280Z,FlyBall,v3,471422,2290,571f2829667c401cbf2102b4319513b3,"Wells, Trey",831089,Right,RUT_SCA,a444994b-e399-4b62-909a-78d4da5d5a10,54.45664,-132.50517,16.91044,4.74518,-2.37396,-7.66089,-2.09547,8.87011,-11.86369,10.992711,1.62033,-76.07799,4.73721,0.48086,-0.07756,-0.02473,0.0111,0.00133,-0.00064,2.37944,62.56149,-31.23371,4.17777,-0.69389,0.02427,0.03204,-0.00947,0.00096,-0.44255,-33.34462,4.40229,-0.86803,0.03288,0.08073,-0.04331,0.01082,-0.00111,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-03-27,18:07:03.32,1,7,"Konstantinovsky, Zack",814149,Right,RUT_SCA,"Jefferis, Brayden",830089,Left,MIC_WOL,Undefined,1,Top,0,3,2,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.39519,-0.142348,-2.919093,2266.339912,228.934949,1:45,4.81345,2.13164,5.90732,-18.11284,17.53351,18.30088,3.17175,0.94485,79.15162,-3.674225,0.361772,0.429713,69.0284,34.981935,-161.873035,3131.657607,-104.53065,33.60221,-34.25343,167.19772,93.47031,-161.983781,2.634855,-10.46493,9.42689,-1.9073,50,4.79211,5.83272,-130.6086,-0.82529,-17.30685,38.4044,-16.58389,RUT_SCA,MIC_WOL,BaintonField,D1,BIG10,20260327-BaintonField-1,496b98d0-2a29-11f1-879b-096047c9bb29,87.7153,35.68199,,11.24357,,,,1.04779,3.14116,-0.94244,c6ebbc6f-f070-477c-8094-ee22a54f006e,2026-03-27,22:07:03.32,2026-03-27T18:07:03.3278976-04:00,2026-03-27T22:07:03.3278976Z,FlyBall,v3,471422,2290,571f2829667c401cbf2102b4319513b3,"Wells, Trey",831089,Right,RUT_SCA,cf96f2d3-4d69-4820-acd7-ad5a08eabbb3,54.58427,-131.94968,19.2022,4.81081,-0.24617,-8.29194,-2.12153,6.43708,-8.65343,7.065615,1.0478,-78.83564,5.69733,0.75689,-0.07401,-0.20208,0.16887,-0.05292,0.00588,3.14126,58.03895,-29.85343,4.17655,-0.71097,0.02152,0.04132,-0.01042,0.00073,-0.94245,-25.80784,3.0542,-0.32923,0.08582,-0.06025,0.03952,-0.01243,0.00142,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-03-27,18:07:26.51,1,8,"Konstantinovsky, Zack",814149,Right,RUT_SCA,"Jefferis, Brayden",830089,Left,MIC_WOL,Undefined,1,Top,0,3,2,Sinker,Sinker,InPlay,Undefined,FlyBall,Out,1,0,,90.57827,0.511792,-2.853975,2195.23005,247.889481,2:15,4.77334,2.20085,6.05649,-26.14549,8.69512,17.943,3.06887,1.05226,80.40441,-4.438454,0.37281,0.424829,88.60715,21.250092,-15.515503,2944.482869,103.91298,35.56483,-36.0845,280.81352,275.31221,-23.283882,3.388759,-10.2443,4.68016,-1.98836,50,4.79947,5.75599,-131.12471,0.31789,-17.29965,35.48746,-24.27058,RUT_SCA,MIC_WOL,BaintonField,D1,BIG10,20260327-BaintonField-1,573bab30-2a29-11f1-879b-096047c9bb29,88.72374,39.7524,,10.17386,,,,0.78722,2.97522,-1.05609,c6ebbc6f-f070-477c-8094-ee22a54f006e,2026-03-27,22:07:26.51,2026-03-27T18:07:26.5119744-04:00,2026-03-27T22:07:26.5119744Z,LineDrive,v3,471422,2290,571f2829667c401cbf2102b4319513b3,"Wells, Trey",831089,Right,RUT_SCA,a2725de5-ba2d-4258-b924-ef3a8dd26a90,54.43852,-132.32049,17.74373,4.77498,1.13571,-12.13529,-2.19214,6.33892,-8.64982,139.140321,0.78723,116.7063,-22.16397,5.2412,-1.0896,0.19033,-0.02679,0.00249,-8E-05,2.97514,47.10473,-15.65929,0.2257,0.11823,-0.0121,-0.00941,0.00394,-0.00044,-1.05608,-32.40012,-1.97264,1.44023,-0.50027,0.12769,-0.0245,0.00299,-0.00017,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-03-27,18:08:02.68,2,1,"Konstantinovsky, Zack",814149,Right,RUT_SCA,"Turner, Colby",827522,Right,MIC_WOL,Undefined,1,Top,1,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.91347,2.149262,-1.360326,2098.643502,130.571524,10:15,4.83994,2.14188,5.92516,-37.85104,5.02922,-4.23992,3.68148,0.52607,73.56744,-4.885089,-2.121003,0.471303,,,,,,,,,,,,1.75287,2.40193,-2.03079,50,4.99081,2.954,-117.37924,3.20744,2.43185,23.37935,-28.84177,RUT_SCA,MIC_WOL,BaintonField,D1,BIG10,20260327-BaintonField-1,6cd23fe0-2a29-11f1-879b-096047c9bb29,79.97497,,,7.34602,,,,,,,c6ebbc6f-f070-477c-8094-ee22a54f006e,2026-03-27,22:08:02.68,2026-03-27T18:08:02.6828288-04:00,2026-03-27T22:08:02.6828288Z,,v3,471422,2290,571f2829667c401cbf2102b4319513b3,"Wells, Trey",831089,Right,RUT_SCA,e04cb000-e9dd-4a3c-8ed8-e313973ec34a,54.571,-118.28617,11.68968,4.84469,4.32628,-14.42088,-2.14355,2.85967,1.21593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-03-27,18:08:19.34,2,2,"Konstantinovsky, Zack",814149,Right,RUT_SCA,"Turner, Colby",827522,Right,MIC_WOL,Undefined,1,Top,1,1,0,ChangeUp,Changeup,InPlay,Undefined,FlyBall,HomeRun,0,1,,79.71359,0.870029,-3.837738,1630.189071,270.727547,3:00,4.84705,2.04956,6.15034,-43.02908,1.41831,18.75407,2.06704,0.06115,71.73742,-7.147863,-0.461245,0.479838,108.74682,19.598117,-18.544961,1716.359964,102.99471,35.58418,-38.62566,366.78627,362.10547,-24.387015,3.804548,-11.00599,0.8902,-1.76693,50,4.89146,7.05409,-115.45824,0.45421,-14.55784,25.52759,-30.99658,RUT_SCA,MIC_WOL,BaintonField,D1,BIG10,20260327-BaintonField-1,76c0d250-2a29-11f1-879b-096047c9bb29,78.55243,48.30777,,7.97617,,,,1.88396,2.13996,-0.06282,c6ebbc6f-f070-477c-8094-ee22a54f006e,2026-03-27,22:08:19.34,2026-03-27T18:08:19.3480704-04:00,2026-03-27T22:08:19.3480704Z,LineDrive,v3,471422,2290,571f2829667c401cbf2102b4319513b3,"Wells, Trey",831089,Right,RUT_SCA,8164484f-9815-47c7-ade3-e3bd35090bf5,54.34826,-116.41566,12.7638,4.85262,1.61675,-15.49829,-2.04174,7.60009,-7.27892,140.55694,1.88359,142.46422,-30.43584,8.26173,-2.06934,0.4983,-0.10496,0.01475,-0.00091,2.1403,53.48913,-15.86927,-0.36823,0.59367,-0.21816,0.04792,-0.00508,0.00016,-0.06269,-47.79286,0.68799,1.48645,-0.65112,0.17115,-0.02939,0.0028,-0.0001,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
